time_from_start,panda_joint1_pos,panda_joint1_vel,panda_joint2_pos,panda_joint2_vel,panda_joint3_pos,panda_joint3_vel,panda_joint4_pos,panda_joint4_vel,panda_joint5_pos,panda_joint5_vel,panda_joint6_pos,panda_joint6_vel,panda_joint7_pos,panda_joint7_vel,eef_pos_x,eef_pos_y,eef_pos_z,eef_orient_x,eef_orient_y,eef_orient_z,eef_orient_w
2.466,0.000249803,0.00718618,-0.646164,0.735661,0.000130781,-0.00326021,-2.26454,0.504572,-1.46029e-05,0.000665784,1.62971,0.226549,0.785387,-0.00149429,0.344707,0.00014575,0.593167,-0.923935,0.382506,-0.00537835,0.0021871
2.5,0.000258934,0.00710918,-0.621203,0.73468,0.000115887,-0.00506282,-2.24765,0.490378,4.89626e-05,0.00206644,1.63759,0.215293,0.785366,-0.00271713,0.352291,0.000143787,0.593117,-0.923935,0.382508,-0.00525222,0.00212609
2.533,0.000253391,0.00262822,-0.597139,0.685993,6.86848e-05,-0.00166348,-2.2318,0.454416,7.94405e-05,0.00579513,1.64454,0.179703,0.785338,-0.00202711,0.360352,0.000149741,0.59298,-0.923938,0.382501,-0.00514998,0.00212411
2.566,0.000234042,-0.00735933,-0.575057,0.627672,4.01417e-05,0.0103655,-2.21752,0.411879,6.6067e-05,0.00880086,1.65027,0.148478,0.785322,-0.00252552,0.368078,0.000132154,0.592401,-0.923938,0.38251,-0.00455365,0.00190884
2.6,-0.000240561,-7.01743e-05,-0.55544,0.54669,-7.66615e-05,-0.00277511,-2.20462,0.369858,9.86818e-06,-0.00514417,1.65495,0.116589,0.785319,-0.000832224,0.375118,0.000112659,0.591529,-0.923937,0.382524,-0.00359842,0.00151476
2.633,-0.000234356,-0.00609076,-0.538214,0.458641,-0.000112806,0.00342857,-2.19269,0.315573,-2.02525e-05,0.000220174,1.65881,0.122003,0.785319,0.00145014,0.381362,-0.000126019,0.590684,-0.923832,0.382787,-0.00265246,0.00112528
2.666,-0.000234356,-0.00609076,-0.538214,0.458641,-0.000112806,0.00342857,-2.19269,0.315573,-2.02525e-05,0.000220174,1.65881,0.122003,0.785319,0.00145014,0.386869,-0.000145006,0.590112,-0.923829,0.382798,-0.00199549,0.000846451
2.7,0.000249309,0.00107598,-0.523669,0.394913,-0.000123463,-0.00142765,-2.18214,0.29773,-2.5191e-05,-0.00397371,1.66207,0.0777142,0.785313,-0.000898389,0.386869,-0.000145006,0.590112,-0.923829,0.382798,-0.00199549,0.000846451
2.733,0.000229625,-0.00538727,-0.511215,0.313989,-0.000107298,0.00351049,-2.17246,0.244296,-3.08243e-05,-0.000776363,1.66473,0.0846905,0.785314,0.00178269,0.391559,3.74187e-05,0.589785,-0.923922,0.382576,-0.00165749,0.000706443
2.766,-0.000240246,-0.000881549,-0.50116,0.274277,-8.7096e-05,0.000575335,-2.16408,0.237198,-2.37438e-05,-0.00248859,1.66694,0.0547403,0.785311,-0.00148401,0.395608,3.73134e-05,0.589748,-0.923921,0.38258,-0.00160772,0.000677788
